"nuts2","arable_area_km2","arable_area_ha"
1,1618,162112
2,6664,671203
3,37,4346
4,579,57021
5,1175,115374
6,2814,284317
7,41,3994
8,85,7905
9,43,4297
10,1,50
11,238,24232
12,418,40747
13,641,67310
14,548,53378
15,1220,120396
16,549,55695
17,1439,144398
18,603,60013
19,193,19447
20,813,81974
21,8804,878053
22,7176,710891
23,7892,789536
24,7483,741188
25,2430,240024
26,4990,497649
27,2557,256459
28,141,13916
29,5487,546701
30,5289,527694
31,2059,207886
32,4349,439615
33,6899,687571
34,3093,307197
35,1358,140317
36,10001,996586
37,23503,2355417
38,33,2279
39,10876,1094203
40,11,1118
41,59,5952
42,5512,550654
43,11939,1185334
44,22216,2203629
45,13199,1321295
46,4577,451126
47,374,39421
48,7948,793412
49,11256,1126546
50,7341,741621
51,7020,705979
52,953,96136
53,4852,490431
54,8118,814549
55,7888,785473
56,4730,476822
57,6806,687528
58,3681,366687
59,5909,589992
60,2055,206294
61,4335,433307
62,513,51357
63,29,3265
64,1362,135832
65,2025,205849
66,369,36729
67,91,8825
68,195,20556
69,188,20194
70,86,8423
71,718,73179
72,662,68662
73,27,2065
74,794,78618
75,3520,351118
76,877,87802
77,15710,1574176
78,1860,184130
79,38235,3818415
80,27955,2805705
81,7933,789305
82,5858,583481
83,1098,107646
84,826,82601
85,17857,1791792
86,2401,239631
87,5929,586970
88,1545,154001
89,5154,511856
90,4170,412977
91,68,7351
92,5959,592665
93,13017,1296318
94,12460,1241938
95,6315,634094
96,20287,2023387
97,5385,530598
98,9311,937659
99,7338,732202
100,7127,718442
101,2571,255993
102,2337,232918
103,12394,1244090
104,10231,1022071
105,11629,1164907
106,7187,716358
107,11090,1106311
108,362,35592
109,4222,418920
110,2269,230011
111,1051,103201
112,1754,173813
113,38,4258
114,221,22143
115,0,0
116,2705,270021
117,5371,537200
118,5453,548249
119,7220,718694
120,5108,505284
121,10494,1044567
122,10948,1095323
123,550,54628
124,2600,263973
125,5554,551329
126,0,25
127,51,6273
128,9223,917863
129,9773,981292
130,4003,395816
131,1985,197141
132,1728,170453
133,3004,308629
134,6738,668719
135,3775,384382
136,2109,208254
137,8834,886612
138,5315,529212
139,50,5053
140,25,2425
141,6630,659969
142,1855,183590
143,5213,521008
144,2471,244944
145,4901,484282
146,22742,2263847
147,451,44741
148,12053,1205623
149,4,609
150,1292,127849
151,304,30888
152,755,75555
153,184,19273
154,229,21585
155,872,87452
156,13,1144
157,672,68152
158,765,76174
159,1243,124732
160,579,56711
161,414,41188
162,8825,880210
163,15193,1521160
164,5101,507810
165,3694,364402
166,12234,1219715
167,5681,566501
168,4622,458468
169,7414,740131
170,15668,1568200
171,8440,850015
172,4041,407023
173,9320,932911
174,5178,518534
175,10210,1016627
176,10766,1078479
177,7067,707349
178,1407,139755
179,109,11391
180,1721,171583
181,307,30557
182,6233,622748
183,8890,880278
184,6868,688055
185,12518,1255576
186,17805,1774576
187,18267,1833599
188,791,79757
189,11341,1133837
190,10115,1013540
191,1027,101423
192,8637,862717
193,3058,307326
194,5533,554294
195,6571,650440
196,2991,291371
197,1105,110010
198,1163,116939
199,933,94385
200,142,14146
201,802,78071
202,8001,797288
203,2801,277645
204,4338,433392
205,2250,224574
206,1965,195661
207,6926,699951
208,9939,990702
209,5629,562332
210,13209,1321348
211,69,7009
212,7264,730923
213,9386,940699
214,1133,112157
215,8040,806021
216,390,40120
